obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-1866.11776622  2497.20230024   791.12297365],[-0.03867357 -0.12617054 -1.90290071],[-894.97963741 -754.43514325  151.20684994],[ 0.01963865 -0.02920294  0.61096975]
[-1866.07781377  2497.14998511   791.02938681],[-0.03866829 -0.12638885 -1.90267592],[-895.00391078 -754.48292326  151.1884762 ],[ 0.01925222 -0.02908225  0.61112465]
[-1866.13478057  2497.24901576   791.16802961],[-0.0387881  -0.1277082  -1.90226041],[-894.99765095 -754.44909928  151.20310596],[ 0.01941916 -0.02920141  0.61117879]
[-1866.13946447  2497.22714207   791.14455911],[-0.03898844 -0.12632522 -1.90298552],[-895.00346919 -754.27565351  151.24337162],[ 0.02068856 -0.02888072  0.61016072]
[-1910.11765639  2500.28121135   782.20159906],[-1.22016764 -0.74177294 -0.38810091],[-895.00586946 -754.42637606  151.20147643],[ 0.01977236 -0.02927347  0.61099726]
[-1910.05447357  2500.23071003   782.16664335],[-1.22108159 -0.74157429 -0.38768964],[-895.00193894 -754.44914488  151.16904342],[ 0.01931661 -0.02910192  0.61110417]
[-1859.78169392  2494.31492425   783.37295385],[ 0.00385568 -0.13142974 -1.88070666],[-895.01461335 -754.4404804   151.18235805],[ 0.01955571 -0.0291158   0.61078349]
[-1859.67357411  2494.2608551    783.32752629],[ 0.00421681 -0.13258295 -1.88040947],[-894.97289338 -754.43405499  151.22807873],[ 0.01978615 -0.02946448  0.61093889]
[-1859.74159528  2494.28171472   783.36139068],[ 0.00407698 -0.1315789  -1.88129214],[-895.00270514 -754.42715507  151.20293083],[ 0.01952156 -0.02921064  0.61091535]
[-1859.71192299  2494.23081407   783.37282969],[ 0.00380597 -0.13308998 -1.88154374],[-895.00749697 -754.44400622  151.16680202],[ 0.01939119 -0.02914418  0.61102319]
[-1859.71589957  2494.28523662   783.37145751],[ 0.00386863 -0.13237668 -1.88071191],[-895.02241528 -754.30863935  151.23712277],[ 0.02048977 -0.02877766  0.61021839]
[-1910.08759141  2500.2625063    782.22314194],[-1.22110444 -0.74173826 -0.38760294],[-894.99214186 -754.44256371  151.20337741],[ 0.01955529 -0.0291383   0.61128289]
[-1862.66068282  2493.75414691   783.6610084 ],[-0.01185952 -0.00559849 -1.88394412],[-895.69284317 -755.34320826  151.26146031],[ 0.0125934  -0.02291135  0.61458941]
[-1862.56951046  2493.74307567   783.34146689],[-0.00724922 -0.00213331 -1.88266377],[-895.01020272 -754.33144107  151.25791238],[ 0.0204457  -0.02891701  0.61018578]
[-1862.68375037  2493.78674978   783.67349047],[-0.01010317 -0.00635033 -1.88369828],[-895.01024737 -754.32974083  151.2426494 ],[ 0.02027242 -0.02881404  0.61024388]
[-1862.52443905  2493.66084835   783.51234269],[-0.01058066 -0.00611987 -1.88282904],[-895.02238154 -754.44840751  151.18838671],[ 0.01941904 -0.02878087  0.61099031]
[-1862.53209191  2493.70734212   783.24981365],[-7.26114871e-03 -1.58298892e-03 -1.88238144e+00],[-895.68741131 -755.37197513  151.25824997],[ 0.01262385 -0.02301787  0.61487866]
[-1859.46828606  2491.31106509   784.57416296],[-0.03867145 -0.04193671 -1.87277765],[-895.70520943 -755.36991559  151.24008785],[ 0.01243254 -0.02271569  0.61497414]
[-1859.05070607  2491.05553528   784.70097943],[-0.04194256 -0.04707019 -1.87196788],[-895.69547552 -755.35811118  151.250885  ],[ 0.01251102 -0.02272061  0.61470871]
[-1859.34329116  2491.17954863   784.53470062],[-0.03883632 -0.04262441 -1.87412908],[-894.97830326 -754.30444307  151.24786505],[ 0.02053431 -0.02899207  0.61017735]
[-1858.30683676  2490.96827819   784.17880392],[-0.03664211 -0.05516693 -1.86434206],[-895.02143688 -754.4357556   151.15356567],[ 0.01956517 -0.02901926  0.61101263]
[-1858.72344147  2490.88823848   784.29434926],[-0.03831625 -0.05398413 -1.87099127],[-895.02936125 -754.45620424  151.20008273],[ 0.01947113 -0.02914347  0.6110489 ]
[-1859.17606209  2490.87855108   783.89638399],[-0.03765644 -0.05406536 -1.87317856],[-894.99941029 -754.45167619  151.21260219],[ 0.01924544 -0.02925029  0.61125286]
